Projects,False Positive function + code location,Category,Class,"Missing 
Function 
Involved","Fixed on 
9/23/25 vers
(jvan original)","Fixed on 
10/14/25 vers
(DPich v2)",Explaination
proftpd,fgetpwent / pwgrent.c line 102,FP,Assume_Finite,No,No,No,Finiteness of input: Read from protected file on disk which is guaranteed finite
proftpd,"delay_table_init_lookup / ""modules/mod_delay.c"" line 691 ",FP,Fixed,No,No,Yes,Unknown cause: for (s = (server_rec *) server_list->xas_list; s; s = s->next)
proftpd,"find_extendedlogs / ""modules/mod_log.c"" line 1000 ",FP,Assume_Finite,No,Yes,Yes,Should assume finiteness of input: while (c != NULL) c = find_config_next2()
proftpd,write_entry / scoreboard.c:332,Unintended,Real bug,,,No,
proftpd,pr_ipbind_add_binds / bindings.c line 262 ,FP,Assume_Finite,No,Yes,Yes,Should assume finiteness of input:  while (c != NULL) c = find_config_next()
proftpd,pr_env_unset / env.c line 110 ,FP,Assume_Finite,No,Yes,Yes,Should assume finiteness of environment read via pr_env_get()
proftpd,"str_vreplace / ""src/str.c"" line 65 ",FP,Missing_constraint,No,Yes,Yes,Missing constraint: iteration controlled in a different variable max_replaces not part of the induction variable
proftpd,"pr_str_text_to_array / ""src/str.c"" line 858 ",FP,Missing model,Yes,Yes,Yes,Unknown function without summary: while (ptr != NULL) ptr = memchr()
proftpd,"pr_throttle_init / ""src/throttle.c"" line 113",FP,Assume_Finite,No,Yes,Yes,Should assume finiteness of input:  while (c != NULL) c = find_config_next()
proftpd,"process_opts / ""utils/ftptop.c"" line 300",FP,Assume_Finite,Yes,Yes,Yes,"Should assume finiteness of input + need external function summary: while ((optc = getopt(argc, argv, prgopts)) != -1)"
proftpd,rlock_scoreboard / scoreboard.c line 78,Intended,Concurrency,No,Yes,Yes,Concurrency: expected fcntl() will block until mutex taken
proftpd,unlock_scoreboard.c / scoreboard.c line 107 ,Intended,Concurrency,No,Yes,Yes,Concurrency: expected fcntl() will block until mutex taken
proftpd,util_scoreboard_scrub / scoreboard.c line 295,Intended,Concurrency,No,Yes,Yes,Concurrency: expected fcntl() will block until mutex taken
bind,nsu_strsep (nsupdate.c line 350),FP,Missing_constraint,No,No,Yes,Missing reasoning: for (s = string; *s != '\0'; s++) thinks s is not induction variable but *s is?
bind,"isc_log_setdebuglevel / ""lib/isc/log.c"" line 816",FP,Confusing_macro,No,Yes,Yes,"Missing constraint: due to macro: for (channel = ISC_LIST_HEAD(); channel; channel = ISC_LIST_NEXT(channel, link)"
bind,"isc_log_closefilelogs / ""isc_log_closefilelogs"" line 894",FP,Confusing_macro,No,Yes,Yes,"Missing constraint: due to macro: for (channel = ISC_LIST_HEAD(); channel; channel = ISC_LIST_NEXT(channel, link)"
bind,isc_rwlock_wrlock / rwlock.c line 242,Intended,Concurrency,No,Yes,Yes,Concurrency: Intended rwlock will block until acquired
sqlite,completionNext / shell.c line 9170 - ,FP,State_Machine,No,No,Yes,Unable to understand state machine in loop: while( pCur->ePhase!=COMPLETION_EOF ) { ... }
sqlite,procedure_start_line / shell.c line 1480 ,FP,Assume_Finite,No,No,Yes,Should assume finiteness of input: for(i=0; i<nAppend; i++){ ... } where nAppen comes indirectly from input
sqlite,shell_callback / shell.c line 23111,FP,Fixed,No,No,Yes,Unknown cause:  for(i=0; i<nArg; i++){ ...} should not fire
sqlite,tplt_linedir / tool/lemon.c line 3822,FP,Assume_Finite,No,No,Yes,Should assume finiteness of input: unable to understand while (*filename) with filename++ in the loop
sqlite,tplt_print / tool/lemon.c line 3834,FP,Assume_Finite,No,No,Yes,Should assume finiteness of input: unable to understand that a string is finite while (*str) with str++ in the loop
comdb2,bdb_direct_count (cursor.c),FP,Fixed,No,Yes,Yes,Unknown: FP (short loop)
comdb2,bdb_checkpoint_list_delete_log ,FP,Missing function,Yes,Yes,Yes,Missing external func constraint: Pattern: while (listc_rtl(&lst) != NULL)
comdb2,obdb_queuedb_size (file.c),FP,Fixed,No,Yes,Yes,Unknown: FP (short loop)
comdb2,__db_vrfy_dbinfo_destroy (db_vrfyutil.c),FP,Confusing_macro,No,Yes,Yes,Unable to understand macro logic: for (c = LIST_FIRST(&vdp->subdbs); c != NULL; c = d)
comdb2,__dbenv_clear_mintruncate_list (env_recover.c),FP,Missing function,No,Yes,Yes,Missing external func constraint: Pattern: while (listc_rtl(&lst) != NULL)
comdb2,clear_sparse_map (lock_deadlock.c),FP,Fixed,No,Yes,Yes,Unknown cause: induction variable tested on param->field should not show up
comdb2,lc_free (rep_record.c) ,FP,Confusing_macro,No,Yes,Yes,Unable to understand macro logic in berkdb
comdb2,__truncate_repdb (rep_record.c) ,FP,Missing function,No,Yes,Yes,Missing external func constraint: Pattern: while (listc_rtl(&lst) != NULL)
comdb2,__txn_remrem (txn_util.c) ,FP,Confusing_macro,No,Yes,Yes,Unable to understand macro logic in berkdb
comdb2,__txn_remlock (txn_util.c) ,FP,Confusing_macro,No,Yes,Yes,Unable to understand macro logic in berkdb
comdb2,__txn_doevents (txn_util.c) ,FP,Concurrency,No,Yes,Yes,Concurrency: unable to understand async code
comdb2,cdb2_cluster_info (cdb2api.c) ,FP,Fixed,No,No,Yes,Unknown cause: maybe short loop
comdb2,cdb2_string_escape (cdb2api.c) ,FP,Assume_finite,No,Yes,Yes,Finiteness of input: while (*src)) where *src does not change but src does!
comdb2,lua_func_list_free (comdb2.c),FP,Confusing_macro,No,Yes,Yes,"Unable to understand macro logic: FP  LISTC_FOR_EACH_SAFE(list_ptr, item, tmp, lnk)"
comdb2,clear_deferred_options ,FP,Missing function,No,Yes,Yes,Missing external func constraint: Pattern: while (listc_rtl(&lst) != NULL)
comdb2,_access_control_clear (fdb_access.c),FP,Confusing_macro,No,Yes,Yes,"Unable to understand macro logic: FP  LISTC_FOR_EACH_SAFE(list_ptr, item, tmp, lnk)"
comdb2,_fdb_svc_indexes_to_ondisk (fdb_bend_sql.c) ,FP,Fixed,No,Yes,Yes,Unknown cause: induction variable is tested on ptr->field but ptr is the param changing
comdb2,_free_participants (osqlsession.c) ,FP,Missing function,No,Yes,Yes,Missing external func constraint: Pattern: while (listc_rtl(&lst) != NULL)
comdb2,log_params (reqlog.c:1749),FP,Fixed,No,Yes,Yes,for (int i = 0; i < n; ++i) with n = parm_count(param->fiedval)
comdb2,cleanresources (resource.c:177),FP,Missing function,No,Yes,Yes,Missing external func constraint: Pattern: while (listc_rtl(&lst) != NULL)
comdb2,req_stats (sltdbt.c:81) ,FP,Fixed,No,Yes,Yes,Induction variable tested on param->field value should not show up
comdb2,free_cached_idx (sqlglue.c:141) ,FP,Fixed,No,Yes,Yes,for (i = 0; i < MAXINDEX; i++) 
comdb2,clear_participants (sqlglue.c) ,FP,Missing_constraint,No,Yes,Yes,Missing external func constraint: Pattern: while (listc_rtl(&lst) != NULL)
comdb2,free_blob_buffers (tag.c5023) ,FP,Fixed,No,Yes,Yes,for (ii = 0; ii < nblobs; ii++) { ... } where nblobs comes from param
comdb2,update_dbstore (tag.c:5949) ,FP,Fixed,No,Yes,Yes,for (int i = 0; i < sizeof db->dbstore / sizeof db->dbstore[0]; ++i)
comdb2,free_blob_status_data_int (toblob.c:875),FP,Fixed,No,Yes,Yes,for (ii = 0; ii < MAXBLOBS; ii++)
comdb2,comdb2ma_release (mem.c:668) ,FP,Confusing_macro,No,Yes,Yes,"Unable to understand macro logic LISTC_FOR_EACH(&(root.list), curpos, lnk) "
comdb2,net_cleanup (net.c:2404) ,FP,Global_variable,No,Yes,Yes,Global Variable: for (uint8_t i = 0; i < num_dedicated_subnets; i++) {  ... } where num_dedicated_subnets is global 
comdb2,clear_recs_list (sc_records.c:2069),FP,Confusing_macro,No,Yes,Yes,"Unable to understand macro logic LISTC_FOR_EACH_SAFE(l, rec, tmp, lnk)"
comdb2,free_dests (sc_struct.c:73) ,FP,Missing function,Yes,Yes,Yes,Missing external function constraint: for (; s->dests.count > 0;) where dests.count is modified by listc_rbl(s->dests) called inside the loop
comdb2,idxCreateFromWhere (sqllite3expert.c:1042) ,FP,Fixed,No,Yes,Yes,Unknown cause: Should assume finiteness of input: for(pCon=pScan->pRange; rc==SQLITE_OK && pCon; pCon=pCon->pNext){ ... }
comdb2,idxCreateCandidates (sqllite3expert.c:1061),FP,Fixed,No,Yes,Yes,Unknown cause: Finiteness of input: for(pIter=p->pScan; pIter && rc==SQLITE_OK; pIter=pIter->pNextScan){ ... }
comdb2,completionNext (completion.c:209) ,FP,State_Machine,No,Yes,Yes,Unable to understand FSM: while( pCur->ePhase!=COMPLETION_EOF ) { ... }
comdb2,tplt_print (lemon.c) ,FP,Missing_constraint,No,No,Yes,while( *str ) { str++; } style loop
